cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,receive_threshold_used,triangle_index,used_fallback,src_x,src_y,src_z,target_x,target_y,target_z,normal_x,normal_y,normal_z
6,-36,3,0.011220,0.000174,0.000002,accepted,accepted,0.114717,0.693223,0.150000,5128,False,15.179523,18.232233,0.757407,15.275949,18.232689,0.749935,-0.997000,-0.004714,0.077255
6,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.103697,0.702423,0.150000,5128,False,15.193759,18.232233,0.798484,15.279199,18.232637,0.791864,-0.997000,-0.004714,0.077255
6,-34,3,0.011220,0.000174,0.000002,accepted,accepted,0.121064,0.711254,0.150000,5128,False,15.179523,18.232233,0.839562,15.282277,18.232719,0.831599,-0.997000,-0.004714,0.077255
6,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.110044,0.720690,0.150000,5128,False,15.193759,18.232233,0.880639,15.285526,18.232668,0.873528,-0.997000,-0.004714,0.077255
6,-32,1,0.003740,0.000174,0.000001,accepted,accepted,0.113217,0.729986,0.150000,5128,False,15.193759,18.232233,0.921716,15.288691,18.232683,0.914360,-0.997000,-0.004714,0.077255
6,-31,3,0.011220,0.000174,0.000002,accepted,accepted,0.120002,0.318813,0.150000,8689,False,15.179523,18.232233,0.962793,15.271235,18.238897,1.006939,-0.899124,-0.065333,-0.432790
6,-30,3,0.011220,0.000174,0.000002,accepted,accepted,0.102224,0.324254,0.150000,8689,False,15.179523,18.232233,1.003871,15.255251,18.237734,1.040322,-0.899124,-0.065333,-0.432790
6,-28,1,0.003740,0.000174,0.000001,accepted,accepted,0.054404,0.350426,0.150000,5127,False,15.193759,18.232233,1.086025,15.226734,18.234791,1.101236,-0.905801,-0.070259,-0.417838
6,-27,2,0.007480,0.000174,0.000001,accepted,accepted,0.043688,0.357182,0.150000,5127,False,15.186641,18.232233,1.127102,15.209909,18.234037,1.137836,-0.905801,-0.070259,-0.417838
6,-26,1,0.003740,0.000174,0.000001,accepted,accepted,0.020077,0.363142,0.150000,5127,False,15.193759,18.232233,1.168180,15.195641,18.232378,1.169047,-0.905801,-0.070259,-0.417838
6,-25,2,0.007480,0.000174,0.000001,accepted,accepted,0.009361,0.370362,0.150000,5127,False,15.186641,18.232233,1.209257,15.178816,18.231627,1.205647,-0.905801,-0.070259,-0.417838
6,-23,1,0.003740,0.000174,0.000001,accepted,accepted,0.031414,0.383889,0.150000,5127,False,15.193759,18.232233,1.291411,15.149000,18.228762,1.270764,-0.905801,-0.070259,-0.417838
6,-19,2,0.007480,0.000174,0.000001,accepted,accepted,0.093621,0.415806,0.150000,5127,False,15.186641,18.232233,1.455720,15.085535,18.224390,1.409081,-0.905801,-0.070259,-0.417838
6,-14,1,0.003740,0.000174,0.000001,accepted,accepted,0.185886,0.461161,0.150000,5127,False,15.193759,18.232233,1.661107,15.009079,18.217909,1.575915,-0.905801,-0.070259,-0.417838
7,-40,5,0.018700,0.000174,0.000003,accepted,accepted,0.117440,0.661289,0.150000,5128,False,15.165287,18.282269,0.611989,15.264428,18.282738,0.604306,-0.997000,-0.004714,0.077255
7,-39,2,0.007480,0.000174,0.000001,accepted,accepted,0.097864,0.666194,0.150000,5128,False,15.186641,18.282269,0.634175,15.266265,18.282646,0.628005,-0.997000,-0.004714,0.077255
7,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.093940,0.674858,0.150000,5128,False,15.193759,18.282269,0.675253,15.269471,18.282627,0.669386,-0.997000,-0.004714,0.077255
7,-37,5,0.018700,0.000174,0.000003,accepted,accepted,0.125500,0.683060,0.150000,5128,False,15.165287,18.282269,0.716330,15.272465,18.282776,0.708025,-0.997000,-0.004714,0.077255
7,-35,2,0.007480,0.000174,0.000001,accepted,accepted,0.110557,0.701123,0.150000,5128,False,15.186641,18.282269,0.798484,15.278920,18.282705,0.791334,-0.997000,-0.004714,0.077255
7,-34,3,0.011220,0.000174,0.000002,accepted,accepted,0.120828,0.710029,0.150000,5128,False,15.179523,18.282269,0.839562,15.282042,18.282755,0.831618,-0.997000,-0.004714,0.077255
7,-33,2,0.007480,0.000174,0.000001,accepted,accepted,0.116905,0.719292,0.150000,5128,False,15.186641,18.282269,0.880639,15.285249,18.282736,0.872998,-0.997000,-0.004714,0.077255
7,-32,3,0.011220,0.000174,0.000002,accepted,accepted,0.127175,0.728410,0.150000,5128,False,15.179523,18.282269,0.921716,15.288370,18.282784,0.913282,-0.997000,-0.004714,0.077255
7,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.103933,0.317416,0.150000,8689,False,15.193759,18.282269,0.962793,15.271024,18.287882,0.999984,-0.899124,-0.065333,-0.432790
7,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.086155,0.322807,0.150000,8689,False,15.193759,18.282269,1.003871,15.255039,18.286720,1.033368,-0.899124,-0.065333,-0.432790
7,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.068377,0.328372,0.150000,8689,False,15.193759,18.282269,1.044948,15.239055,18.285559,1.066751,-0.899124,-0.065333,-0.432790
7,-27,2,0.007480,0.000174,0.000001,accepted,accepted,0.040173,0.356561,0.150000,5127,False,15.186641,18.282269,1.127102,15.206725,18.283827,1.136367,-0.905801,-0.070259,-0.417838
7,-26,2,0.007480,0.000174,0.000001,accepted,accepted,0.023009,0.363013,0.150000,5127,False,15.186641,18.282269,1.168180,15.191178,18.282621,1.170273,-0.905801,-0.070259,-0.417838
7,-19,1,0.003740,0.000174,0.000001,accepted,accepted,0.103584,0.414242,0.150000,5127,False,15.193759,18.282269,1.455720,15.083629,18.273726,1.404918,-0.905801,-0.070259,-0.417838
7,-13,1,0.003740,0.000174,0.000001,accepted,accepted,0.206565,0.470204,0.150000,5127,False,15.193759,18.282269,1.702184,14.990348,18.266491,1.608352,-0.905801,-0.070259,-0.417838
8,-40,3,0.011220,0.000174,0.000002,accepted,accepted,0.103011,0.660246,0.150000,5128,False,15.179523,18.332304,0.611989,15.264278,18.332706,0.605421,-0.997000,-0.004714,0.077255
8,-39,2,0.007480,0.000174,0.000001,accepted,accepted,0.097628,0.664896,0.150000,5128,False,15.186641,18.332304,0.634175,15.266029,18.332680,0.628024,-0.997000,-0.004714,0.077255
8,-37,2,0.007480,0.000174,0.000001,accepted,accepted,0.103975,0.682012,0.150000,5128,False,15.186641,18.332304,0.716330,15.272358,18.332710,0.709688,-0.997000,-0.004714,0.077255
8,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.100052,0.690872,0.150000,5128,False,15.193759,18.332304,0.757407,15.275564,18.332691,0.751068,-0.997000,-0.004714,0.077255
8,-35,2,0.007480,0.000174,0.000001,accepted,accepted,0.110322,0.699610,0.150000,5128,False,15.186641,18.332304,0.798484,15.278686,18.332741,0.791352,-0.997000,-0.004714,0.077255
8,-34,3,0.011220,0.000174,0.000002,accepted,accepted,0.120592,0.708457,0.150000,5128,False,15.179523,18.332304,0.839562,15.281807,18.332788,0.831636,-0.997000,-0.004714,0.077255
8,-33,3,0.011220,0.000174,0.000002,accepted,accepted,0.123765,0.717534,0.150000,5128,False,15.179523,18.332304,0.880639,15.284970,18.332804,0.872468,-0.997000,-0.004714,0.077255
8,-32,1,0.003740,0.000174,0.000001,accepted,accepted,0.112745,0.726964,0.150000,5128,False,15.193759,18.332304,0.921716,15.288219,18.332752,0.914397,-0.997000,-0.004714,0.077255
8,-30,2,0.007480,0.000174,0.000001,accepted,accepted,0.089286,0.322531,0.150000,8689,False,15.186641,18.332304,1.003871,15.250736,18.336960,1.034723,-0.899124,-0.065333,-0.432790
